id,StateCode,name,distPV2005,distPV2010,distPV2015,distPV2020,utilityPV2005,utilityPV2010,utilityPV2015,utilityPV2020,csp2005,csp2010,csp2015,csp2020
1,AK,Alaska,0,0,1,1,0,0,0,0,0,0,0,0
2,AL,Alabama,0,0,1,1,0,0,0,60,0,0,0,0
3,AR,Arkansas,0,1,5,5,0,0,12,11,0,0,0,0
4,AZ,Arizona,13,121,769,"3,281",7,17,"1,250","1,923",0,0,280,280
5,CA,California,290,791,"4,021","13,489",2,81,"5,589","9,076",400,408,"1,338","1,358"
6,CO,Colorado,11,53,323,616,0,44,201,674,0,0,0,31
7,CT,Connecticut,4,4,182,885,0,0,12,477,0,0,0,0
8,DC,District of Columbia,1,2,10,43,0,0,0,0,0,0,0,0
9,DE,Delaware,1,9,34,57,0,0,31,573,0,0,0,0
10,FL,Florida,7,20,125,476,0,51,85,"3,765",0,75,75,75
11,GA,Georgia,0,3,14,316,0,0,259,259,0,0,0,0
13,HI,Hawaii,5,29,364,364,0,2,44,44,0,0,0,0
14,IA,Iowa,0,9,30,30,0,0,0,2,0,0,0,0
15,ID,Idaho,0,0,6,6,0,0,0,1,0,0,0,0
16,IL,Illinois,0,1,16,24,0,9,32,"1,243",0,0,0,0
17,IN,Indiana,0,1,10,10,0,0,119,689,0,0,0,0
18,KS,Kansas,0,0,4,4,0,0,1,1,0,0,0,0
19,KY,Kentucky,0,1,4,4,0,0,0,573,0,0,0,0
20,LA,Louisiana,0,6,137,137,0,0,0,0,0,0,0,0
21,MA,Massachusetts,4,44,740,"2,009",0,4,323,417,0,0,0,0
22,MD,Maryland,1,11,252,"1,484",0,1,82,710,0,0,0,0
23,ME,Maine,0,3,17,92,0,0,0,0,0,0,0,0
24,MI,Michigan,0,3,18,18,0,0,2,894,0,0,0,0
25,MN,Minnesota,1,8,28,28,0,0,2,385,0,0,0,0
26,MO,Missouri,0,1,113,413,0,0,12,12,0,0,0,0
27,MS,Mississippi,0,0,1,4,0,0,0,0,0,0,0,0
28,MT,Montana,0,2,5,5,0,0,0,3,0,0,0,0
29,NC,North Carolina,2,10,38,562,0,11,"1,540","4,016",0,0,0,0
30,ND,North Dakota,0,0,0,0,0,0,0,0,0,0,0,0
31,NE,Nebraska,0,0,1,1,0,0,4,4,0,0,0,0
32,NH,New Hampshire,0,2,27,27,0,0,0,274,0,0,0,0
33,NJ,New Jersey,29,150,979,"2,380",0,45,432,"2,376",0,0,0,0
34,NM,New Mexico,0,20,98,686,0,31,270,270,0,0,0,1
35,NV,Nevada,6,0,155,294,0,73,793,"1,161",0,76,186,186
36,NY,New York,12,41,477,"2,618",0,0,63,"2,844",0,0,0,0
37,OH,Ohio,1,10,80,80,0,11,38,738,0,0,0,0
38,OK,Oklahoma,0,0,3,3,0,0,3,2,0,0,0,0
39,OR,Oregon,3,23,91,173,0,0,21,35,0,0,0,0
40,PA,Pennsylvania,2,34,193,319,0,16,49,701,0,0,0,0
41,RI,Rhode Island,0,2,8,8,0,0,8,315,0,0,0,0
42,SC,South Carolina,0,1,7,7,0,0,3,313,0,0,0,0
43,SD,South Dakota,0,0,0,0,0,0,0,0,0,0,0,0
44,TN,Tennessee,0,0,0,78,0,0,48,619,0,0,0,0
45,TX,Texas,3,17,196,"1,410",0,14,222,"4,578",0,0,0,0
46,UT,Utah,0,3,65,65,0,0,166,166,0,0,0,2
47,VA,Virginia,0,4,28,28,0,0,0,575,0,0,0,0
48,VT,Vermont,1,6,62,116,0,0,30,40,0,0,0,0
49,WA,Washington,1,7,66,85,0,1,1,0,0,0,0,0
50,WI,Wisconsin,1,4,21,63,0,0,1,1,0,0,0,0
51,WV,West Virginia,0,0,3,3,0,0,0,306,0,0,0,0
52,WY,Wyoming,0,1,3,3,0,0,0,0,0,0,0,0
53,US,United States,405,"1,459","9,831","32,813",8,410,"11,745","41,127",400,559,"1,878","1,933"
,,,,,,,,,,,,,,
