id,StateCode,name,Landbased2000,Offshore2000,Total,Landbased2010,Offshore2010,Total,Landbased2013,Offshore2013,Total,Landbased2020,Offshore2020,Total,Landbased2030,Offshore2030,Total,Landbased2050,Offshore2050,Total
2,AL,Alabama,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0.88,1.98,1.1,3.37,4.47
3,AR,Arkansas,0,0,0,0,0,0,0,0,0,0,0,0,2.55,0,2.55,4.48,0,4.48
4,AZ,Arizona,0,0,0,0.13,0,0.13,0.24,0,0.24,0.29,0,0.29,1.52,0,1.52,2.19,0,2.19
5,CA,California,1.62,0,1.62,3.25,0,3.25,5.83,0,5.83,8.24,0,8.24,8.01,0,8.01,8.77,2.62,11.39
6,CO,Colorado,0.02,0,0.02,1.3,0,1.3,2.33,0,2.33,2.66,0,2.66,2.36,0,2.36,4.64,0,4.64
7,CT,Connecticut,0,0,0,0,0,0,0,0,0,0.13,0.21,0.34,0.13,0.64,0.77,0,0.7,0.7
8,DC,District of Columbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,DE,Delaware,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0.12,0,0.96,0.96
10,FL,Florida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29,0.29
11,GA,Georgia,0,0,0,0,0,0,0,0,0,0,0,0,0.29,0,0.29,0.29,0.93,1.22
13,IA,Iowa,0.24,0,0.24,3.67,0,3.67,5.18,0,5.18,6.2,0,6.2,17.3,0,17.3,37.03,0,37.03
14,ID,Idaho,0,0,0,0.35,0,0.35,0.97,0,0.97,1.17,0,1.17,1.89,0,1.89,2.39,0,2.39
15,IL,Illinois,0,0,0,2.04,0,2.04,3.57,0,3.57,3.98,0,3.98,19.49,0.13,19.62,43.08,0.74,43.82
16,IN,Indiana,0,0,0,1.34,0,1.34,1.54,0,1.54,2.61,0,2.61,13.5,0,13.5,21.91,0,21.91
17,KS,Kansas,0,0,0,1.07,0,1.07,2.97,0,2.97,3.42,0,3.42,3.27,0,3.27,8.55,0,8.55
18,KY,Kentucky,0,0,0,0,0,0,0,0,0,0,0,0,0.95,0,0.95,2.56,0,2.56
19,LA,Louisiana,0,0,0,0,0,0,0,0,0,0,0,0,1.28,0,1.28,1.46,3.81,5.27
20,MA,Massachusetts,0,0,0,0.02,0,0.02,0.11,0,0.11,0.27,0.49,0.76,0.27,2.35,2.62,0.25,4.02,4.27
21,MD,Maryland,0,0,0,0.07,0,0.07,0.12,0,0.12,0.82,0.06,0.88,0.82,1.07,1.89,0.82,4.79,5.61
22,ME,Maine,0,0,0,0.27,0,0.27,0.43,0,0.43,0.95,0,0.95,0.95,1.35,2.3,0.85,2.15,3
23,MI,Michigan,0,0,0,0.16,0,0.16,1.16,0,1.16,1.47,0,1.47,1.85,0.31,2.16,0.66,1.13,1.79
24,MN,Minnesota,0.29,0,0.29,2.21,0,2.21,2.99,0,2.99,3.47,0,3.47,3.99,0,3.99,9.29,0,9.29
25,MO,Missouri,0,0,0,0.46,0,0.46,0.46,0,0.46,1.28,0,1.28,4.35,0,4.35,8.14,0,8.14
26,MS,Mississippi,0,0,0,0,0,0,0,0,0,0,0,0,0.45,0.02,0.47,0.49,0.02,0.51
